density,MCN,trace_sigma,trace_K,trace_Fabric,q,q_over_p,kd,a,orientation,series_id,partition,row_id
0.6565064585137337,6.230398069963812,89990.6559915542,0.0090217623561212,0.3333333333333336,2964.880192938057,0.0329465338403168,0.0002245250709168,0.002831480537895,vertical,vertical_3,train,369
0.6566243280905608,6.2451749095295535,89992.03263479297,0.0090206434845288,0.3333333333333332,2917.3467232490784,0.0324178334218574,0.0002237084762244,0.0036639064827785,vertical,vertical_3,train,370
0.6567529201343331,6.244270205066345,89997.43392786516,0.0090224467305266,0.3333333333333328,2823.6012193105653,0.031374241420858,0.0002170822011386,0.0031811366504046,vertical,vertical_3,train,371
0.6568888194030124,6.2291917973462,89991.06738060473,0.0090168475273781,0.3333333333333331,2945.8295616480286,0.0327346885351303,0.0002247572424006,0.0045731393088998,vertical,vertical_3,train,372
0.6570178499998635,6.231302774427021,89991.96113698852,0.0090176825507477,0.3333333333333328,3322.687973753784,0.0369220531675699,0.0002479850123308,0.0036671826472525,vertical,vertical_3,train,373
0.6571338780680914,6.239746682750302,89987.41404128628,0.0090213955003639,0.3333333333333331,3432.802151651334,0.0381475808392089,0.0002477495767793,0.0030789628593164,vertical,vertical_3,train,374
0.657253516315942,6.25211097708082,89988.64455197526,0.0090240111238478,0.3333333333333339,3674.2172506910856,0.040829787680255,0.0002642862634362,0.0030964474254414,vertical,vertical_3,train,375
0.6573707408425054,6.249396863691194,89991.80857879222,0.0090270390518482,0.3333333333333343,3606.7003201477646,0.0400780957412354,0.000260867854689,0.0027451719586081,vertical,vertical_3,train,376
0.6574678918470231,6.262062726176116,89993.95884541958,0.0090347396159854,0.333333333333334,3610.094620161301,0.0401148551133556,0.0002651261359644,0.0038524356934859,vertical,vertical_3,train,377
0.6575556158590027,6.268998793727382,89994.74078253207,0.0090340889897913,0.3333333333333333,3405.9973885432078,0.0378466270242795,0.000249341979193,0.0037925433223847,vertical,vertical_3,train,378
0.6576333482745266,6.264173703256936,89995.18354110846,0.0090334366753113,0.3333333333333338,3372.7088651790787,0.0374765485492729,0.0002468792118978,0.0040138588569762,vertical,vertical_3,train,379
0.6577126298557457,6.262062726176116,89991.59423302452,0.0090372237407101,0.3333333333333322,3148.678881025804,0.0349885887438842,0.0002309192083986,0.0046190954555794,vertical,vertical_3,train,380
0.6577893901733258,6.269903498190591,89991.85292920594,0.0090378187717752,0.3333333333333323,3048.960612704329,0.0338804070975498,0.0002186136894119,0.003661105392059,vertical,vertical_3,train,381
0.6578598316769751,6.28226779252111,89990.80952309082,0.0090369517897305,0.3333333333333321,2993.915388879801,0.0332691238666053,0.0002137446924097,0.0031834516261182,vertical,vertical_3,train,382
0.6579312240666457,6.298552472858866,89990.70349714598,0.0090373355829634,0.333333333333333,3016.4506249561514,0.0335195804425711,0.0002164782475903,0.0031064643949877,vertical,vertical_3,train,383
0.6579942253356967,6.303980699638118,89988.4231657088,0.0090387372448795,0.3333333333333337,2816.778165944429,0.0313015615437275,0.0001989806856897,0.0034881065502234,vertical,vertical_3,train,384
0.6580536935584823,6.297949336550061,89991.97536542446,0.0090395610013571,0.3333333333333351,2837.8947719449725,0.0315349758733633,0.0002035770028631,0.0036048429982612,vertical,vertical_3,train,385
