model,combination,features,validation_target_mse_lnK,validation_K_rmse,validation_K_mae,validation_K_r2,test_target_mse_lnK,test_K_rmse,test_K_mae,test_K_r2,validation_physical_metrics_finite,test_physical_metrics_finite,configured_neighbors,effective_neighbors
rbf_5,39_trace_sigma+density+MCN+a,"trace_sigma,density,MCN,a",0.00419814231928421,0.00020794764885528473,0.00014845302102349406,0.9916155585558929,2.347407610517506,0.0004130399690239307,0.00021748678056919348,0.9713231930005413,True,True,25,25
rbf_5,51_trace_sigma+density+q_over_p+a,"trace_sigma,density,q_over_p,a",0.0030097577631155127,0.00021184668991234328,0.0001641017533827244,0.99129819248654,2.797555029441619,0.0007211864144687503,0.0003568420265497636,0.912573778578325,True,True,25,25
rbf_5,53_trace_sigma+MCN+q_over_p+a,"trace_sigma,MCN,q_over_p,a",0.004204967406698504,0.00022006444489040917,0.00014006935032586705,0.9906099940276458,2.6070052652611615,0.000613679473446619,0.00027283128712192825,0.9366961929904059,True,True,25,25
rbf_4,57_trace_sigma+q+q_over_p+a,"trace_sigma,q,q_over_p,a",0.0024513093453652633,0.00022786928107250046,0.00015396828330152882,0.9899321283234308,0.005685137220557785,0.0006353867285619093,0.000252682926737331,0.9321385846420182,True,True,40,40
rbf_4,49_trace_sigma+q_over_p+a,"trace_sigma,q_over_p,a",0.00376745902898484,0.00025401064032150544,0.0001733347292453345,0.9874896365846862,0.0035924478874369823,0.0001825379776210444,0.0001441205459736883,0.9943991608077197,True,True,40,40
rbf_4,41_trace_sigma+q+a,"trace_sigma,q,a",0.0030475088895673876,0.00027945139321143043,0.00016371107602912666,0.9848581595576456,0.0013952486650146544,0.0002262615453557987,0.00011860059547395026,0.9913946580502079,True,True,40,40
rbf_5,05_trace_sigma+MCN,"trace_sigma,MCN",0.0053416617064290595,0.00029248819490886946,0.00019650687652292127,0.9834124291183861,1091.631979418161,4.286519919819804e+119,4.982978191073978e+118,-3.088562023002511e+244,True,True,25,25
rbf_5,15_trace_sigma+density+MCN+q,"trace_sigma,density,MCN,q",0.0077658662804209,0.0003286071118283072,0.00017190856804994285,0.9790627314318168,314902.1703730176,171.96627190598346,19.990967028506052,-4970878943.405375,True,True,25,25
rbf_4,05_trace_sigma+MCN,"trace_sigma,MCN",0.012433701428666259,0.00032962142381967873,0.0002555691831854707,0.9789332777600753,0.014704280062434101,0.00034729579429075477,0.0002641530143030373,0.9797257086735625,True,True,40,40
rbf_5,37_trace_sigma+MCN+a,"trace_sigma,MCN,a",0.008680383241102324,0.0003510657989328661,0.00017803355863047,0.9761030127575738,0.051901500218351514,0.00039107335189667356,0.00026807406464536895,0.9742923083601225,True,True,25,25
rbf_5,45_trace_sigma+MCN+q+a,"trace_sigma,MCN,q,a",0.02221602652597578,0.0004074704669380892,0.0002836566072799304,0.967807227453895,12.740682955322388,3374161062.348518,392238256.23962843,-1.9137193726437384e+24,True,True,25,25
rbf_4,09_trace_sigma+q,"trace_sigma,q",0.006260029813509626,0.00042959001278510293,0.00024547017964508507,0.9642171885814226,0.0049190921980428555,0.0005026958105576386,0.00023405255087557918,0.9575226743268679,True,True,40,40
