combination,features,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs
57_trace_sigma+density+MCN+q+q_over_p,"trace_sigma,density,MCN,q,q_over_p",8.10878659654308e-05,4.761716844591622e-05,0.9995666835405841,1952
45_trace_sigma+density+q+q_over_p,"trace_sigma,density,q,q_over_p",8.171328322845493e-05,4.357525298861979e-05,0.9995599735675512,1649
42_trace_sigma+density+MCN+q,"trace_sigma,density,MCN,q",8.223325984360926e-05,4.798903142117238e-05,0.9995543555961998,1678
02_density,density,8.354877941576294e-05,5.015729913824483e-05,0.9995399832312892,1419
58_trace_sigma+density+MCN+q+a,"trace_sigma,density,MCN,q,a",8.406836045726826e-05,4.673628355595374e-05,0.9995342438488329,963
35_density+q+q_over_p,"density,q,q_over_p",8.43613838189042e-05,4.779535604648775e-05,0.9995309913699948,1324
49_trace_sigma+MCN+q+a,"trace_sigma,MCN,q,a",8.576831734626687e-05,5.1293155358940995e-05,0.9995152171765616,906
39_MCN+q+a,"MCN,q,a",8.63878314229635e-05,5.092784923988096e-05,0.9995081886035344,1988
28_trace_sigma+MCN+a,"trace_sigma,MCN,a",8.650952369614332e-05,5.3962898271554e-05,0.9995068020239632,5020
52_density+MCN+q+q_over_p,"density,MCN,q,q_over_p",8.675932489602974e-05,4.799215845600814e-05,0.9995039496369303,1920
34_density+MCN+a,"density,MCN,a",8.686635085175065e-05,5.2057910982884505e-05,0.9995027250305788,440
59_trace_sigma+density+MCN+q_over_p+a,"trace_sigma,density,MCN,q_over_p,a",8.699375704450373e-05,4.9498572267177465e-05,0.9995012652622843,1594
24_trace_sigma+density+q_over_p,"trace_sigma,density,q_over_p",8.705002885778525e-05,5.0181413787681514e-05,0.9995006198416058,1759
08_trace_sigma+MCN,"trace_sigma,MCN",8.931647458280823e-05,4.65825595279068e-05,0.999474277469986,1085
50_trace_sigma+MCN+q_over_p+a,"trace_sigma,MCN,q_over_p,a",9.004342442426292e-05,5.97222397116523e-05,0.9994656848967816,864
13_density+q,"density,q",9.114696288281406e-05,5.669436850498183e-05,0.9994525079112141,1570
63_trace_sigma+density+MCN+q+q_over_p+a,"trace_sigma,density,MCN,q,q_over_p,a",9.130182167445673e-05,5.4425650184737594e-05,0.9994506459514814,1948
62_density+MCN+q+q_over_p+a,"density,MCN,q,q_over_p,a",9.138477668800344e-05,4.83688154262092e-05,0.999449647233724,1823
60_trace_sigma+density+q+q_over_p+a,"trace_sigma,density,q,q_over_p,a",9.19270814926103e-05,5.2481470814268195e-05,0.999443095934199,1897
40_MCN+q_over_p+a,"MCN,q_over_p,a",9.885280179636145e-05,6.697521779071049e-05,0.9993560214378325,360
07_trace_sigma+density,"trace_sigma,density",0.00010117286618000314,6.085066291635829e-05,0.9993254384994036,1226
47_trace_sigma+density+q_over_p+a,"trace_sigma,density,q_over_p,a",0.00010226310616101087,6.697056240181501e-05,0.9993108220025554,678
25_trace_sigma+density+a,"trace_sigma,density,a",0.00010258568615154579,6.106272041491599e-05,0.9993064672420386,4221
15_density+a,"density,a",0.00010291610696403026,6.127799201170244e-05,0.9993019924129313,302
46_trace_sigma+density+q+a,"trace_sigma,density,q,a",0.00010356505063749534,6.188759727251615e-05,0.999293162002838,1175
55_density+q+q_over_p+a,"density,q,q_over_p,a",0.00010452526678377376,6.017091261806215e-05,0.9992799941695027,1822
36_density+q+a,"density,q,a",0.00010688481219003968,6.597916150203187e-05,0.9992471205539776,1082
37_density+q_over_p+a,"density,q_over_p,a",0.00011801972376232877,7.09808103680059e-05,0.9990820846520791,412
06_a,a,0.00017323557399383113,0.00011327208624822633,0.9980222672616355,124
19_q+q_over_p,"q,q_over_p",0.00017990886014058625,0.0001167637806797183,0.9978669622189703,1343
29_trace_sigma+q+q_over_p,"trace_sigma,q,q_over_p",0.00018980943431545804,0.0001233080190715477,0.9976257358572383,606
09_trace_sigma+q,"trace_sigma,q",0.00019091920354224125,0.00011743269048505361,0.9975978912134192,421
04_q,q,0.00019307351024845632,0.0001280861703148605,0.9975433752161558,310
01_trace_sigma,trace_sigma,0.00021742235549788346,0.00015430134832177626,0.9968846859278234,428
10_trace_sigma+q_over_p,"trace_sigma,q_over_p",0.0002327947414799234,0.00016101073589732393,0.996428589461229,702
11_trace_sigma+a,"trace_sigma,a",0.00025517480075629384,0.0001846767885086058,0.9957088962737504,322
20_q+a,"q,a",0.000265862008068039,0.00019004702890339822,0.9953419300581736,342
21_q_over_p+a,"q_over_p,a",0.00026586370919423353,0.00019479923392195082,0.9953418704483767,456
51_trace_sigma+q+q_over_p+a,"trace_sigma,q,q_over_p,a",0.00027997050290292654,0.00020236614536401566,0.9948344330023957,1642
41_q+q_over_p+a,"q,q_over_p,a",0.00028455088079708566,0.00021184534282803053,0.9946640308205216,380
31_trace_sigma+q_over_p+a,"trace_sigma,q_over_p,a",0.00029823396785649424,0.00022028218164429209,0.9941385150101657,864
30_trace_sigma+q+a,"trace_sigma,q,a",0.0003052589075989784,0.00021337992264372399,0.9938591267233202,538
05_q_over_p,q_over_p,0.0003115991711621031,0.00021041154805501722,0.9936013842376249,738
