density,MCN,trace_sigma,trace_K,trace_Fabric,q,q_over_p,kd,a,orientation,series_id
0.6274302562615358,5.047044632086852,4990.415029634114,0.0012195935052146999,0.33333333333333437,122.31393277887338,0.024509771642748753,2.6059510843545978e-05,0.005642746134389418,vertical,vertical_1
0.627540124978784,5.046441495778046,4990.247054844442,0.0012197307865528,0.33333333333333376,108.41597938111585,0.021725573541668156,2.4477562257817063e-05,0.005633108055312386,vertical,vertical_1
0.6276497773567349,5.0512665862484925,4990.267761125081,0.0012200756749208665,0.3333333333333334,99.88110194952189,0.020015178890321346,2.299678012460682e-05,0.005464826206116214,vertical,vertical_1
0.6277600983744768,5.066948130277443,4990.347434540362,0.0012205847657853666,0.33333333333333287,92.35718742308615,0.01850716581050889,2.2054338652724698e-05,0.00568435736959862,vertical,vertical_1
0.5994315195202948,3.906513872135103,19991.339078663386,0.0027671235159720665,0.33333333333333287,694.389549705989,0.0347345191321929,8.453753984124466e-05,0.006890137290426118,vertical,vertical_2
0.6084542121902438,4.010856453558504,19991.15988392245,0.002873129562092834,0.33333333333333437,990.4547373267204,0.04954463588294728,0.00012078623452795483,0.0075952302555302095,vertical,vertical_2
0.6128593146993422,4.211097708082026,19991.085284004577,0.0029214610867478665,0.3333333333333334,569.3142035646985,0.028478404022428065,7.007319874502153e-05,0.00710996781419886,vertical,vertical_2
0.6156444084324395,4.345597104945718,19991.2893302344,0.0029413697426723,0.33333333333333237,542.8987099280629,0.02715676317619967,6.87686077664061e-05,0.007957364780439005,vertical,vertical_2
0.617732879492438,4.446320868516285,19991.33863153544,0.0029635644900839336,0.33333333333333304,728.8499227807815,0.0364582850710684,9.014619339757137e-05,0.006528239881154668,vertical,vertical_2
0.6193899602301316,4.576899879372738,19991.44563404293,0.002987395974660967,0.33333333333333287,817.0177046277905,0.04086836537906551,9.873728027308928e-05,0.006726153277037757,vertical,vertical_2
0.6207699619919899,4.674306393244874,19991.607797439865,0.0030065841578817997,0.3333333333333324,850.6263825996805,0.04254917319399454,9.562499848551588e-05,0.005974460545098028,vertical,vertical_2
0.6219432197037353,4.761761158021713,19990.618053958973,0.0030182414899907,0.3333333333333333,811.8910965533063,0.04061360656092962,9.235443565344056e-05,0.005864173117657132,vertical,vertical_2
