combination,features,trial,hidden_sizes,learning_rate,batch_size,dropout,physical_loss_weight,cv_K_rmse,cv_K_mae,cv_K_r2,final_epochs
03_MCN,MCN,trial_002_h16x8_lr0.0003_b16_d0_w1,16x8,0.0003,16,0.0,1.0,0.00012807668188954228,7.790126968759432e-05,0.9989189803724324,431
16_MCN+q,"MCN,q",trial_014_h16x8_lr0.001_b32_d0_w1,16x8,0.001,32,0.0,1.0,0.00012882748082476046,7.194115143021117e-05,0.9989062691232237,9510
03_MCN,MCN,trial_006_h16x8_lr0.0003_b32_d0_w1,16x8,0.0003,32,0.0,1.0,0.00013143356598154917,7.668581155066158e-05,0.9988615708013208,873
17_MCN+q_over_p,"MCN,q_over_p",trial_045_h64x32_lr0.001_b32_d0_w0.25,64x32,0.001,32,0.0,0.25,0.0001321357067053576,8.719564494928847e-05,0.9988493749426022,1004
17_MCN+q_over_p,"MCN,q_over_p",trial_034_h64x32_lr0.0003_b16_d0_w1,64x32,0.0003,16,0.0,1.0,0.00013288715974787047,9.244305711334312e-05,0.9988362505673865,998
03_MCN,MCN,trial_001_h16x8_lr0.0003_b16_d0_w0.25,16x8,0.0003,16,0.0,0.25,0.00013614835440727878,8.322905611826635e-05,0.9987784303421139,466
17_MCN+q_over_p,"MCN,q_over_p",trial_038_h64x32_lr0.0003_b32_d0_w1,64x32,0.0003,32,0.0,1.0,0.00014407711790293708,9.867038748182082e-05,0.9986320082805117,813
16_MCN+q,"MCN,q",trial_013_h16x8_lr0.001_b32_d0_w0.25,16x8,0.001,32,0.0,0.25,0.00014473208853425096,8.65673024832071e-05,0.9986195423040094,9650
03_MCN,MCN,trial_005_h16x8_lr0.0003_b32_d0_w0.25,16x8,0.0003,32,0.0,0.25,0.00014756303986232985,8.968980749711403e-05,0.9985650108065508,890
03_MCN,MCN,trial_014_h16x8_lr0.001_b32_d0_w1,16x8,0.001,32,0.0,1.0,0.00014835952292088715,0.00010631275240172565,0.9985494780667904,1655
17_MCN+q_over_p,"MCN,q_over_p",trial_046_h64x32_lr0.001_b32_d0_w1,64x32,0.001,32,0.0,1.0,0.00014867438820223783,0.0001007606816817021,0.9985433146114511,1134
17_MCN+q_over_p,"MCN,q_over_p",trial_041_h64x32_lr0.001_b16_d0_w0.25,64x32,0.001,16,0.0,0.25,0.00015616588041359266,0.00010258160895877662,0.9983928154389975,1152
17_MCN+q_over_p,"MCN,q_over_p",trial_033_h64x32_lr0.0003_b16_d0_w0.25,64x32,0.0003,16,0.0,0.25,0.00015670548973876873,9.474690382810417e-05,0.9983816894477424,912
03_MCN,MCN,trial_009_h16x8_lr0.001_b16_d0_w0.25,16x8,0.001,16,0.0,0.25,0.00015758400059308564,0.00011147971237568956,0.9983634936779202,349
17_MCN+q_over_p,"MCN,q_over_p",trial_024_h32x16_lr0.0003_b32_d0.1_w1,32x16,0.0003,32,0.1,1.0,0.00015766732091507225,0.00010089063329398844,0.9983617626610547,829
03_MCN,MCN,trial_033_h64x32_lr0.0003_b16_d0_w0.25,64x32,0.0003,16,0.0,0.25,0.00016530991059619904,0.00010051690557228036,0.9981990932497161,603
17_MCN+q_over_p,"MCN,q_over_p",trial_018_h32x16_lr0.0003_b16_d0_w1,32x16,0.0003,16,0.0,1.0,0.00016567264323755776,0.00010955399592156624,0.9981911812696411,1940
03_MCN,MCN,trial_038_h64x32_lr0.0003_b32_d0_w1,64x32,0.0003,32,0.0,1.0,0.00017185886794661735,9.477224343689702e-05,0.9980535765090564,1332
17_MCN+q_over_p,"MCN,q_over_p",trial_022_h32x16_lr0.0003_b32_d0_w1,32x16,0.0003,32,0.0,1.0,0.00017679291330720279,0.00012044200924123596,0.9979402090350381,2704
03_MCN,MCN,trial_037_h64x32_lr0.0003_b32_d0_w0.25,64x32,0.0003,32,0.0,0.25,0.00017864450376713634,9.513546461498805e-05,0.9978968378266263,1080
17_MCN+q_over_p,"MCN,q_over_p",trial_037_h64x32_lr0.0003_b32_d0_w0.25,64x32,0.0003,32,0.0,0.25,0.00017936541311246344,0.00012202353486127366,0.9978798292035832,736
03_MCN,MCN,trial_034_h64x32_lr0.0003_b16_d0_w1,64x32,0.0003,16,0.0,1.0,0.0001829385340033334,0.00010957415848307447,0.9977945163989473,568
03_MCN,MCN,trial_013_h16x8_lr0.001_b32_d0_w0.25,16x8,0.001,32,0.0,0.25,0.00018422847908171325,0.000125868282604935,0.9977633039158411,626
16_MCN+q,"MCN,q",trial_026_h32x16_lr0.001_b16_d0_w1,32x16,0.001,16,0.0,1.0,0.00019779125796985542,0.0001196369877046011,0.997421853279196,857
17_MCN+q_over_p,"MCN,q_over_p",trial_001_h16x8_lr0.0003_b16_d0_w0.25,16x8,0.0003,16,0.0,0.25,0.00020362405715847117,0.00011533630163257311,0.9972675538189869,905
17_MCN+q_over_p,"MCN,q_over_p",trial_009_h16x8_lr0.001_b16_d0_w0.25,16x8,0.001,16,0.0,0.25,0.00020457435087860952,0.00011482774627242324,0.9972419901838782,1912
17_MCN+q_over_p,"MCN,q_over_p",trial_013_h16x8_lr0.001_b32_d0_w0.25,16x8,0.001,32,0.0,0.25,0.00020605739274618575,0.00011480265681761819,0.997201857391824,754
17_MCN+q_over_p,"MCN,q_over_p",trial_010_h16x8_lr0.001_b16_d0_w1,16x8,0.001,16,0.0,1.0,0.00020627386313901817,0.00012466943072733568,0.9971959752132351,2174
16_MCN+q,"MCN,q",trial_030_h32x16_lr0.001_b32_d0_w1,32x16,0.001,32,0.0,1.0,0.0002076952159969392,0.00012568852362567718,0.9971571991911308,1209
16_MCN+q,"MCN,q",trial_018_h32x16_lr0.0003_b16_d0_w1,32x16,0.0003,16,0.0,1.0,0.00020885396708243776,0.00012504251521489967,0.9971253902007354,1602
17_MCN+q_over_p,"MCN,q_over_p",trial_005_h16x8_lr0.0003_b32_d0_w0.25,16x8,0.0003,32,0.0,0.25,0.00021220270774648572,0.00011784417817510236,0.9970324688495786,1545
17_MCN+q_over_p,"MCN,q_over_p",trial_002_h16x8_lr0.0003_b16_d0_w1,16x8,0.0003,16,0.0,1.0,0.00021489119256924233,0.00011820853212783972,0.9969567987331877,3997
17_MCN+q_over_p,"MCN,q_over_p",trial_006_h16x8_lr0.0003_b32_d0_w1,16x8,0.0003,32,0.0,1.0,0.00021509052839114437,0.00012388546799563786,0.9969511502896915,1914
17_MCN+q_over_p,"MCN,q_over_p",trial_014_h16x8_lr0.001_b32_d0_w1,16x8,0.001,32,0.0,1.0,0.00021853683980158778,0.00012482861715453796,0.9968526665239216,930
17_MCN+q_over_p,"MCN,q_over_p",trial_030_h32x16_lr0.001_b32_d0_w1,32x16,0.001,32,0.0,1.0,0.00022447583569586992,0.00014747727219125028,0.9966792770929203,1257
16_MCN+q,"MCN,q",trial_025_h32x16_lr0.001_b16_d0_w0.25,32x16,0.001,16,0.0,0.25,0.00022833120051612575,0.00013542230397694217,0.9965642309426027,778
16_MCN+q,"MCN,q",trial_029_h32x16_lr0.001_b32_d0_w0.25,32x16,0.001,32,0.0,0.25,0.00023336907579454968,0.00013736877790573846,0.9964109454725653,1122
16_MCN+q,"MCN,q",trial_017_h32x16_lr0.0003_b16_d0_w0.25,32x16,0.0003,16,0.0,0.25,0.0002369455748531712,0.00014213949874846714,0.9963000943573879,969
17_MCN+q_over_p,"MCN,q_over_p",trial_021_h32x16_lr0.0003_b32_d0_w0.25,32x16,0.0003,32,0.0,0.25,0.000250098484209837,0.0001655835100601278,0.9958779280971405,2556
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_026_h32x16_lr0.001_b16_d0_w1,32x16,0.001,16,0.0,1.0,0.00025206937580159785,0.00015523593454053278,0.9958127044478706,2014
16_MCN+q,"MCN,q",trial_041_h64x32_lr0.001_b16_d0_w0.25,64x32,0.001,16,0.0,0.25,0.0002557774784669786,0.00015904907272522924,0.9956886026822227,910
17_MCN+q_over_p,"MCN,q_over_p",trial_029_h32x16_lr0.001_b32_d0_w0.25,32x16,0.001,32,0.0,0.25,0.0002592998558562162,0.0001554484195332664,0.9955690383154847,1416
17_MCN+q_over_p,"MCN,q_over_p",trial_026_h32x16_lr0.001_b16_d0_w1,32x16,0.001,16,0.0,1.0,0.00026131146172499447,0.00017248814117994736,0.9955000222903941,612
16_MCN+q,"MCN,q",trial_002_h16x8_lr0.0003_b16_d0_w1,16x8,0.0003,16,0.0,1.0,0.0002755838800797777,0.00015676596345921205,0.9949950347682207,5668
16_MCN+q,"MCN,q",trial_042_h64x32_lr0.001_b16_d0_w1,64x32,0.001,16,0.0,1.0,0.00028068825423316953,0.00017455327376063038,0.9948079134579213,834
17_MCN+q_over_p,"MCN,q_over_p",trial_017_h32x16_lr0.0003_b16_d0_w0.25,32x16,0.0003,16,0.0,0.25,0.0002882092488238312,0.0001874960551947214,0.9945259435595121,1228
16_MCN+q,"MCN,q",trial_046_h64x32_lr0.001_b32_d0_w1,64x32,0.001,32,0.0,1.0,0.0002946440595149873,0.00016300872947688715,0.9942787776987816,1208
16_MCN+q,"MCN,q",trial_034_h64x32_lr0.0003_b16_d0_w1,64x32,0.0003,16,0.0,1.0,0.0002986477112499236,0.00015688502069003747,0.9941222403186722,1430
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_030_h32x16_lr0.001_b32_d0_w1,32x16,0.001,32,0.0,1.0,0.00031054849201544424,0.00017989686958956764,0.9936444623863029,4842
17_MCN+q_over_p,"MCN,q_over_p",trial_025_h32x16_lr0.001_b16_d0_w0.25,32x16,0.001,16,0.0,0.25,0.0003117278045275127,0.00020368509046229125,0.993596100235321,743
16_MCN+q,"MCN,q",trial_033_h64x32_lr0.0003_b16_d0_w0.25,64x32,0.0003,16,0.0,0.25,0.00031247248063500456,0.00018052085194992845,0.9935654675671364,1113
16_MCN+q,"MCN,q",trial_045_h64x32_lr0.001_b32_d0_w0.25,64x32,0.001,32,0.0,0.25,0.00031464535581473115,0.00018431086109531525,0.9934756673522012,1268
16_MCN+q,"MCN,q",trial_022_h32x16_lr0.0003_b32_d0_w1,32x16,0.0003,32,0.0,1.0,0.00032829752375915683,0.00021877707412795193,0.9928972151789188,231
16_MCN+q,"MCN,q",trial_001_h16x8_lr0.0003_b16_d0_w0.25,16x8,0.0003,16,0.0,0.25,0.0003306682900525419,0.00017100649524287527,0.9927942607408566,8333
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_034_h64x32_lr0.0003_b16_d0_w1,64x32,0.0003,16,0.0,1.0,0.00033824665058125304,0.00019549477714219591,0.9924601891059011,946
16_MCN+q,"MCN,q",trial_023_h32x16_lr0.0003_b32_d0.1_w0.25,32x16,0.0003,32,0.1,0.25,0.00035022987237008873,0.00016801854792371397,0.99191649305724,3014
16_MCN+q,"MCN,q",trial_038_h64x32_lr0.0003_b32_d0_w1,64x32,0.0003,32,0.0,1.0,0.0003604843471843394,0.00017689993951207854,0.9914362049075063,1161
16_MCN+q,"MCN,q",trial_037_h64x32_lr0.0003_b32_d0_w0.25,64x32,0.0003,32,0.0,0.25,0.00037303848899957766,0.00018473423429682777,0.9908293370818181,1692
16_MCN+q,"MCN,q",trial_021_h32x16_lr0.0003_b32_d0_w0.25,32x16,0.0003,32,0.0,0.25,0.00037775047324899896,0.0002324950354853177,0.9905961979616387,235
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_046_h64x32_lr0.001_b32_d0_w1,64x32,0.001,32,0.0,1.0,0.00037962110261292767,0.00024691912122944614,0.9905028316520229,866
16_MCN+q,"MCN,q",trial_006_h16x8_lr0.0003_b32_d0_w1,16x8,0.0003,32,0.0,1.0,0.00038835144807669326,0.00019411170176171077,0.9900609860152388,9508
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_041_h64x32_lr0.001_b16_d0_w0.25,64x32,0.001,16,0.0,0.25,0.00038984750228511045,0.00023636124604750242,0.989984261983776,300
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_033_h64x32_lr0.0003_b16_d0_w0.25,64x32,0.0003,16,0.0,0.25,0.00039767865081735687,0.0002333385972511113,0.9895778337308013,832
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_042_h64x32_lr0.001_b16_d0_w1,64x32,0.001,16,0.0,1.0,0.0004036104697295878,0.00022658129444123553,0.9892645985205746,529
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_025_h32x16_lr0.001_b16_d0_w0.25,32x16,0.001,16,0.0,0.25,0.0004098502913198705,0.00023539641225456368,0.9889300938199485,2632
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_045_h64x32_lr0.001_b32_d0_w0.25,64x32,0.001,32,0.0,0.25,0.00041125832261024886,0.00024867890803297954,0.9888539023489806,1394
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_038_h64x32_lr0.0003_b32_d0_w1,64x32,0.0003,32,0.0,1.0,0.000415513170274508,0.00026829243125627624,0.9886220759157882,1828
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_018_h32x16_lr0.0003_b16_d0_w1,32x16,0.0003,16,0.0,1.0,0.0004212011575100627,0.0002522256450638251,0.9883084374918024,5540
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_029_h32x16_lr0.001_b32_d0_w0.25,32x16,0.001,32,0.0,0.25,0.00043453868489389306,0.00025639099998022797,0.987556276994819,4708
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_037_h64x32_lr0.0003_b32_d0_w0.25,64x32,0.0003,32,0.0,0.25,0.0004364664364502775,0.0002770606210597167,0.9874456234796346,1144
16_MCN+q,"MCN,q",trial_005_h16x8_lr0.0003_b32_d0_w0.25,16x8,0.0003,32,0.0,0.25,0.0004613411903780483,0.00024944832631571315,0.9859738684539079,4720
16_MCN+q,"MCN,q",trial_024_h32x16_lr0.0003_b32_d0.1_w1,32x16,0.0003,32,0.1,1.0,0.00046777807760334716,0.00030302358881516544,0.9855797372583028,507
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_017_h32x16_lr0.0003_b16_d0_w0.25,32x16,0.0003,16,0.0,0.25,0.000600012036304211,0.0003457318108694292,0.9762746095238822,6614
16_MCN+q,"MCN,q",trial_035_h64x32_lr0.0003_b16_d0.1_w0.25,64x32,0.0003,16,0.1,0.25,0.0006027167471406396,0.000265748133670408,0.9760602306479221,736
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_022_h32x16_lr0.0003_b32_d0_w1,32x16,0.0003,32,0.0,1.0,0.0006254043873012982,0.00037545378182801995,0.9742240137723875,6835
16_MCN+q,"MCN,q",trial_036_h64x32_lr0.0003_b16_d0.1_w1,64x32,0.0003,16,0.1,1.0,0.0006814633532219301,0.00029445785182423504,0.9693959815045163,1766
16_MCN+q,"MCN,q",trial_039_h64x32_lr0.0003_b32_d0.1_w0.25,64x32,0.0003,32,0.1,0.25,0.000721659699716276,0.00031736749095415037,0.9656791250821524,1412
16_MCN+q,"MCN,q",trial_040_h64x32_lr0.0003_b32_d0.1_w1,64x32,0.0003,32,0.1,1.0,0.0008437461460306124,0.0003642754878477966,0.9530844244893791,1429
12_density+MCN,"density,MCN",trial_014_h16x8_lr0.001_b32_d0_w1,16x8,0.001,32,0.0,1.0,0.0008627403275247428,0.00046463234480276564,0.950948347618379,2779
12_density+MCN,"density,MCN",trial_013_h16x8_lr0.001_b32_d0_w0.25,16x8,0.001,32,0.0,0.25,0.0008804634785527935,0.0004676792923194663,0.9489123252371434,1914
12_density+MCN,"density,MCN",trial_010_h16x8_lr0.001_b16_d0_w1,16x8,0.001,16,0.0,1.0,0.0008806524639958201,0.0004739359033160911,0.948890391645905,1753
12_density+MCN,"density,MCN",trial_006_h16x8_lr0.0003_b32_d0_w1,16x8,0.0003,32,0.0,1.0,0.000897921599293086,0.0004969686899325176,0.9468662728826389,3095
12_density+MCN,"density,MCN",trial_002_h16x8_lr0.0003_b16_d0_w1,16x8,0.0003,16,0.0,1.0,0.0009034049717817539,0.0004978591535345538,0.9462153438415484,2630
12_density+MCN,"density,MCN",trial_009_h16x8_lr0.001_b16_d0_w0.25,16x8,0.001,16,0.0,0.25,0.000903555120889087,0.0004906251243719584,0.9461974639549655,1101
12_density+MCN,"density,MCN",trial_008_h16x8_lr0.0003_b32_d0.1_w1,16x8,0.0003,32,0.1,1.0,0.0009061949248165252,0.000500843839079704,0.9458826284444363,722
12_density+MCN,"density,MCN",trial_007_h16x8_lr0.0003_b32_d0.1_w0.25,16x8,0.0003,32,0.1,0.25,0.0009127679200265778,0.00048742349234644986,0.9450947112324255,665
12_density+MCN,"density,MCN",trial_005_h16x8_lr0.0003_b32_d0_w0.25,16x8,0.0003,32,0.0,0.25,0.0009221332517692106,0.00048439110357044446,0.9439622345005235,4929
12_density+MCN,"density,MCN",trial_001_h16x8_lr0.0003_b16_d0_w0.25,16x8,0.0003,16,0.0,0.25,0.0009292397683151602,0.0004910840799319657,0.9430951844937836,4013
16_MCN+q,"MCN,q",trial_048_h64x32_lr0.001_b32_d0.1_w1,64x32,0.001,32,0.1,1.0,0.0009641699420489201,0.0004946275694654016,0.9387366670376877,705
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_021_h32x16_lr0.0003_b32_d0_w0.25,32x16,0.0003,32,0.0,0.25,0.0010819991516771497,0.0007061260417574338,0.9228479829887494,216
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_010_h16x8_lr0.001_b16_d0_w1,16x8,0.001,16,0.0,1.0,0.0015477460368065142,0.000911235797662305,0.8421324586865342,2066
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_014_h16x8_lr0.001_b32_d0_w1,16x8,0.001,32,0.0,1.0,0.001559913370532717,0.0009189432435082522,0.8396406064883308,2071
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_009_h16x8_lr0.001_b16_d0_w0.25,16x8,0.001,16,0.0,0.25,0.0016783014011969158,0.000992233677190487,0.8143763285889518,1306
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_013_h16x8_lr0.001_b32_d0_w0.25,16x8,0.001,32,0.0,0.25,0.0017042531812718313,0.0010023041874149933,0.8085913013338483,2010
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_002_h16x8_lr0.0003_b16_d0_w1,16x8,0.0003,16,0.0,1.0,0.0018061357752765842,0.001101652511823382,0.7850218931666253,2306
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_006_h16x8_lr0.0003_b32_d0_w1,16x8,0.0003,32,0.0,1.0,0.0018579598772126525,0.0011198207610526735,0.7725080118608484,3002
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_001_h16x8_lr0.0003_b16_d0_w0.25,16x8,0.0003,16,0.0,0.25,0.0019915048068269614,0.0012029376593958594,0.7386297448089305,1509
33_density+MCN+q_over_p,"density,MCN,q_over_p",trial_005_h16x8_lr0.0003_b32_d0_w0.25,16x8,0.0003,32,0.0,0.25,0.002055983754678902,0.0012270857445446693,0.7214309895616351,2556
